UNIVERSIDAD,CENTRO,TÍTULO,"TIPO DE UNIV/ CENTRO","OFERTA DE PLAZAS 2019/2020","NOTA DE CORTE 2019/2020","NOTA MEDIA DE ADMISIÓN 2019/2020","RENDIM. MEDIO 2018/2019","CRÉDITOS NECESAR.","PRECIO DEL CRÉDITO 2019/2020" 
"Universidad Miguel Hernández de Elche","Facultad de Ciencias Sociales y Jurídicas","Grado en Gestión Comercial y Marketing",Pública / Propio,-,-,-,85 %,240, 
"Universidad Pontificia Comillas","Centro de Enseñanza Superior Alberta Giménez","Grado en Publicidad y Relaciones Públicas",Privada / Adscrito,60,-,-,94 %,240, 
"Universidad Pontificia de Salamanca","Facultad de Ciencias del Seguro, Jurídicas y de la Empresa","Grado en Marketing y Comunicación",Privada / Propio,-,-,-,84 %,240, 
"Universidad Pontificia de Salamanca","Facultad de Comunicación","Grado en Marketing y Comunicación",Privada / Propio,-,-,-,84 %,240, 
"Universidad Pontificia de Salamanca","Facultad de Comunicación","Grado en Publicidad y Relaciones Públicas",Privada / Propio,-,-,-,92 %,240, 
"Universidad Pontificia de Salamanca","Facultad de Ciencias del Seguro, Jurídicas y de la Empresa","Grado en Seguros y Finanzas",Privada / Propio,-,-,-,,240, 
"Universidad Ramón Llull","IQS School of Management/Facultad de Economía IQS",Grado en Marketing,Privada / Propio,45,-,-,,240, 
"Universidad Ramón Llull","Facultat de Comunicació i Relacions Internacionals Blanquerna/ Blanquerna School of Communication and International Relations/Facultad de Comunicación y Relaciones Internacionales Blanquerna","Grado en Publicidad, Relaciones Públicas y Marketing",Privada / Propio,-,-,-,98 %,240, 
Universidad San Jorge,"Escuela Superior de Gestión Empresarial y Marketing (ESIC)",Grado en Marketing,Privada / Adscrito,-,-,-,92 %,240, 
Universidad San Jorge,"Facultad de Comunicación y Ciencias Sociales","Grado en Publicidad y Relaciones Públicas",Privada / Propio,-,-,-,90 %,240, 
Universidad San Jorge,"Centro de Estudios Superiores Universitarios de Galicia (CESUGA)","Grado en Publicidad y Relaciones Públicas",Privada / Adscrito,-,-,-,90 %,240, 
"Universidad San Pablo- CEU","Facultad de Ciencias Económicas y Empresariales","Grado en Marketing / Bachelor in Marketing",Privada / Propio,-,-,-,,240, 
"Universidad San Pablo- CEU","Facultad de Humanidades y Ciencias de la Comunicación","Grado en Publicidad y Relaciones Públicas",Privada / Propio,-,-,-,,240, 
"Universitat Abat Oliba CEU","Facultad de Derecho y Empresa","Grado en Marketing y Dirección Comercial",Privada / Propio,-,-,-,80 %,240, 
"Universitat Abat Oliba CEU","Facultad de Comunicación, Educación y Humanidades","Grado en Publicidad y Relaciones Públicas",Privada / Propio,-,-,-,91 %,240, 
"Universitat de les Illes Balears","Centro de Enseñanza Superior Alberta Giménez","Grado en Publicidad y Relaciones Públicas",Pública / Adscrito,-,-,-,,240, 
"Universitat Internacional de Catalunya","Facultad de Ciencias de la Comunicación","Grado en Publicidad y Relaciones Públicas",Privada / Propio,-,-,-,91 %,240, 
"Universitat Internacional Valenciana","Facultad de Ciencias Sociales y Jurídicas",Grado en Marketing,Privada / Propio,-,-,-,,240, 
"Universitat Oberta de Catalunya","Universitat Oberta de Catalunya","Grado en Marketing e Investigación de Mercados",Privada / Propio,800,-,-,73 %,240, 
CUNEF Universidad,"Facultad de Empresa, Economía y Derecho",Grado en Derecho,Privada / Propio,-,-,-,,240, 
IE Universidad,"Centro de Estudios Superiores IE","Grado en Derecho / Bachelor of Laws",Privada / Adscrito,-,-,-,95 %,240, 
IE Universidad,"Facultad de Ciencias Humanas, Sociales y de Comunicación","Grado en Derecho / Bachelor of Laws",Privada / Propio,-,-,-,,240, 
IE Universidad,"Centro de Estudios Superiores IE","Grado en Derecho / Bachelor of Laws",Privada / Adscrito,-,-,-,,240, 
IE Universidad,"Facultad de Ciencias Humanas, Sociales y de Comunicación","Grado en Derecho / Bachelor of Laws",Privada / Propio,-,-,-,95 %,240, 
"Universidad a Distancia de Madrid","Facultad de Ciencias Jurídicas",Grado en Derecho,Privada / Propio,-,-,-,71 %,240, 
"Universidad Alfonso X El Sabio","Facultad de Estudios Sociales y Lenguas Aplicadas",Grado en Derecho,Privada / Propio,-,-,-,81 %,240, 
"Universidad Antonio de Nebrija","Facultad de Ciencias Sociales",Grado en Derecho,Privada / Propio,-,-,-,78 %,240, 
"Universidad Camilo José Cela","Facultad de Comunicación y Humanidades",Grado en Derecho,Privada / Propio,-,-,-,88 %,240, 
"Universidad Camilo José Cela","Centro de Educación Superior Instituto de Ciencias Empresariales IMF",Grado en Derecho,Privada / Adscrito,-,-,-,88 %,240, 
"Universidad Cardenal Herrera-CEU","Facultad de Derecho, Empresa y Ciencias Políticas",Grado en Derecho,Privada / Propio,-,-,-,72 %,240, 
"Universidad Cardenal Herrera-CEU","Facultad de Derecho, Empresa y Ciencias Políticas-Centro de Elche",Grado en Derecho,Privada / Propio,-,-,-,72 %,240, 
"Universidad Católica de Valencia San Vicente Mártir","Facultad de Ciencias Jurídicas, Económicas y Sociales",Grado en Derecho,Privada / Propio,-,-,-,67 %,240, 
"Universidad Católica San Antonio","Centro Universitario UCAM. Cartagena",Grado en Derecho,Privada / Propio,-,-,-,56 %,240, 
"Universidad Católica San Antonio","Facultad de Ciencias Jurídicas y de la Empresa",Grado en Derecho,Privada / Propio,-,-,-,56 %,240, 
"Universidad Católica Santa Teresa de Jesús de Ávila","Facultad de Ciencias Sociales y Jurídicas",Grado en Derecho,Privada / Propio,-,-,-,62 %,240, 
"Universidad de Barcelona",Facultad de Derecho,"Grado en Gestión y Administración Pública",Pública / Propio,-,-,-,,240, 
Universidad de Deusto,Facultad de Derecho,Grado en Derecho,Privada / Propio,-,-,-,87 %,240, 
"Universidad de Granada","Facultad de Ciencias Sociales y Jurídicas de Melilla",Grado en Derecho,Pública / Propio,-,-,-,66 %,240,"12,62 €" 
Universidad de Navarra,Facultad de Derecho,Grado en Derecho,Privada / Propio,-,-,-,83 %,240, 
"Universidad del Atlántico Medio","Facultad de Ciencias Sociales y Jurídicas",Grado en Derecho,Privada / Propio,-,-,-,96 %,240, 
"Universidad Europea de Madrid","Facultad de Ciencias Sociales y de la Comunicación. Campus Villaviciosa y Alcobendas",Grado en Derecho,Privada / Propio,-,-,-,88 %,240, 
"Universidad Europea de Valencia","Facultad de Ciencias Sociales",Grado en Derecho,Privada / Propio,-,-,-,76 %,240, 
"Universidad Francisco de Vitoria","Facultad de Ciencias Jurídicas y Empresariales",Grado en Derecho,Privada / Propio,-,-,-,84 %,240, 
"Universidad Internacional de La Rioja",Facultad de Derecho,Grado en Derecho,Privada / Propio,-,-,-,75 %,240, 
"Universidad Internacional Isabel I de Castilla","Facultad de Ciencias Jurídicas y Económicas",Grado en Derecho,Privada / Propio,-,-,-,84 %,240, 
"Universidad Internacional Villanueva","Facultad de Ciencias Sociales y Jurídicas",Grado en Derecho,Privada / Propio,-,-,-,,240, 
"Universidad Loyola Andalucía","Facultad de Ciencias Jurídicas y Políticas (Sede de Córdoba)",Grado en Derecho,Privada / Propio,-,-,-,85 %,240, 
"Universidad Loyola Andalucía","Facultad de Ciencias Jurídicas y Políticas (Sede de Sevilla)",Grado en Derecho,Privada / Propio,-,-,-,85 %,240, 
"Universidad Loyola Andalucía","Facultad de Ciencias Jurídicas y Políticas (Sede de Sevilla)","Grado en Gestión y Administración Pública",Privada / Propio,-,-,-,,240, 
"Universidad Loyola Andalucía","Facultad de Ciencias Jurídicas y Políticas (Sede de Córdoba)","Grado en Gestión y Administración Pública",Privada / Propio,-,-,-,,240, 
"Universidad Nacional de Educación a Distancia",Facultad de Derecho,Grado en Derecho,Pública / Propio,-,-,"6,09",43 %,240,"13,00 €" 
"Universidad Pontificia Comillas","Facultad de Derecho (ICADE)",Grado en Derecho,Privada / Propio,-,-,-,93 %,240, 
"Universidad Ramón Llull","Facultad de Derecho ESADE",Grado en Derecho,Privada / Propio,130,-,-,94 %,240, 
"Universidad Ramón Llull","Facultad de Derecho ESADE","Grado en Derecho / Bachelor in Law",Privada / Propio,-,-,-,,240, 
Universidad San Jorge,"Facultad de Comunicación y Ciencias Sociales",Grado en Derecho,Privada / Propio,-,-,-,75 %,240, 
"Universidad San Pablo- CEU",Facultad de Derecho,Grado en Derecho,Privada / Propio,-,-,-,63 %,240, 
"Universitat Abat Oliba CEU","Facultad de Derecho y Empresa",Grado en Derecho,Privada / Propio,-,-,-,79 %,240, 
"Universitat de les Illes Balears","Facultad de Derecho. Sede Universitaria de Eivissa y Formentera",Grado en Derecho,Pública / Propio,-,-,-,72 %,240,"11,59 €" 
"Universitat de les Illes Balears","Facultad de Derecho. Sede Universitaria de Menorca",Grado en Derecho,Pública / Propio,-,-,-,72 %,240,"11,59 €" 
"Universitat Internacional de Catalunya",Facultad de Derecho,Grado en Derecho,Privada / Propio,90,-,-,86 %,240, 
"Universitat Internacional Valenciana","Facultad de Ciencias Sociales y Jurídicas",Grado en Derecho,Privada / Propio,-,-,-,62 %,240, 
"Universitat Oberta de Catalunya","Universitat Oberta de Catalunya",Grado en Derecho,Privada / Propio,1500,-,-,74 %,240, 
"Universidad Alfonso X El Sabio","Facultad de Ciencias de la Salud",Grado en Biomedicina,Privada / Propio,-,-,-,,240, 
"Universidad Alfonso X El Sabio","Facultad de Ciencias de la Salud",Grado en Biotecnología,Privada / Propio,-,-,-,,240, 
"Universidad Autónoma de Barcelona",Facultad de Biociencias,"Grado en Bioinformática",Pública / Propio,-,-,-,,180, 
"Universidad Católica de Valencia San Vicente Mártir","Facultad de Veterinaria y Ciencias Experimentales",Grado en Biotecnología,Privada / Propio,-,-,-,78 %,240, 
"Universidad Católica Santa Teresa de Jesús de Ávila","Facultad de Ciencias y Artes","Grado en Ciencias Ambientales",Privada / Propio,-,-,-,52 %,240, 
Universidad de Almería,"Facultad de Ciencias Experimentales","Grado en Ciencias Ambientales",Pública / Propio,-,-,"7,55",,240,"12,62 €" 
"Universidad de Barcelona",Facultad de Biología,"Grado en Bioinformática",Pública / Propio,-,-,-,,180, 
"Universidad de Barcelona",Facultad de Biología,"Grado en Bioinformática",Pública / Propio,-,-,-,,180, 
"Universidad de Barcelona","Facultad de Medicina y Ciencias de la Salud","Grado en Ciencias Biomédicas",Pública / Propio,-,-,-,94 %,240,"39,53 €" 
Universidad de Navarra,Facultad de Ciencias,Grado en Biología,Privada / Propio,-,-,-,88 %,240, 
Universidad de Navarra,Facultad de Ciencias,Grado en Bioquímica,Privada / Propio,-,-,-,94 %,240, 
Universidad de Navarra,Facultad de Ciencias,"Grado en Ciencias Ambientales",Privada / Propio,-,-,-,91 %,240, 
"Universidad de Salamanca",Facultad de Biología,Grado en Biotecnología,Pública / Propio,-,-,-,,240, 
"Universidad de Santiago de Compostela",Facultad de Biología,Grado en Biología,Pública / Propio,-,-,-,,240, 
"Universidad de Santiago de Compostela",Facultad de Ciencias,Grado en Bioquímica,Pública / Propio,-,-,-,,240, 
"Universidad Europea de Madrid","Facultad de Ciencias Biomédicas y de la Salud. Campus Villaviciosa y Alcobendas",Grado en Biotecnología,Privada / Propio,80,-,-,,240, 
"Universidad Europea de Valencia","Facultad de Ciencias de la Salud",Grado en Biotecnología,Privada / Propio,-,-,-,,240, 
"Universidad Europea Miguel de Cervantes, SA","Escuela Politécnica Superior","Grado en Ciencias Ambientales",Privada / Propio,-,-,-,80 %,240, 
"Universidad Francisco de Vitoria","Facultad de Ciencias Experimentales",Grado en Biomedicina,Privada / Propio,-,-,-,82 %,240, 
"Universidad Francisco de Vitoria","Facultad de Ciencias Experimentales",Grado en Biotecnología,Privada / Propio,80,-,-,85 %,240, 
"Universidad Nacional de Educación a Distancia",Facultad de Ciencias,"Grado en Ciencias Ambientales",Pública / Propio,-,-,"6,23",42 %,240,"20,48 €" 
"Universidad Politécnica de Catalunya",Facultad de Informática,"Grado en Bioinformática",Pública / Propio,-,-,-,,180, 
"Universidad Politécnica de Catalunya",Facultad de Informática,"Grado en Bioinformática",Pública / Propio,-,-,-,,180, 
"Universidad Pompeu Fabra","Escuela Superior de Comercio Internacional","Grado en Bioinformática",Pública / Adscrito,-,-,-,,180, 
"Universidad Pompeu Fabra","Departamento de Ciencias Experimentales y de la Salud","Grado en Bioinformática",Pública / Propio,-,-,-,,180, 
"Universidad Ramón Llull","IQS School of Engineering/Escuela Técnica Superior IQS",Grado en Biotecnología,Privada / Propio,65,-,-,89 %,240, 
"Universidad Rovira i Virgili",Facultad de Química,"Grado en Ciencias Ambientales",Pública / Propio,-,-,-,,240, 
Universidad San Jorge,"Facultad de Ciencias de la Salud","Grado en Bioinformática",Privada / Propio,-,-,-,91 %,180, 
"Universidad San Pablo- CEU",Facultad de Farmacia,Grado en Biotecnología,Privada / Propio,79,-,-,81 %,240, 
"Universidad San Pablo- CEU",Facultad de Medicina,Grado en Genética,Privada / Propio,-,-,-,80 %,240, 
"Universitat Internacional de Catalunya","Facultad de Medicina y Ciencias de la Salud",Grado en Bioingeniería,Privada / Propio,-,-,-,79 %,240, 
"Universitat Internacional de Catalunya","Facultad de Medicina y Ciencias de la Salud","Grado en Ciencias Biomédicas",Privada / Propio,80,-,-,,240, 
"Universidad Autónoma de Barcelona",Facultad de Biociencias,Grado en Ciencias,Pública / Propio,-,-,-,,240, 
"Universidad Autónoma de Barcelona",Facultad de Ciencias,Grado en Ciencias,Pública / Propio,-,-,-,,240, 
"Universidad Autónoma de Madrid",Facultad de Ciencias,Grado en Ciencias,Pública / Propio,-,-,-,,240, 
"Universidad Carlos III de Madrid","Escuela Politécnica Superior",Grado en Ciencias,Pública / Propio,-,-,-,,240, 
"Universidad Católica de Valencia San Vicente Mártir","Facultad de Veterinaria y Ciencias Experimentales","Grado en Ciencias del Mar",Privada / Propio,-,-,-,65 %,240, 
"Universidad de A Coruña",Facultad de Ciencias,"Grado en Nanociencia y Nanotecnología",Pública / Propio,-,-,-,,240, 
Universidad de Alcalá,Facultad de Ciencias,"Grado en Física e Instrumentación Espacial",Pública / Propio,-,-,-,,240, 
Universidad de Almería,"Facultad de Ciencias Experimentales",Grado en Química,Pública / Propio,-,-,9,,240,"12,62 €" 
"Universidad de Castilla- La Mancha",Facultad de Letras,"Grado en Geografía y Ordenación del Territorio",Pública / Propio,-,-,-,88 %,240,"12,13 €" 
Universidad de Navarra,Facultad de Ciencias,Grado en Química,Privada / Propio,-,-,-,88 %,240, 
"Universidad de Salamanca",Facultad de Ciencias,Grado en Geología,Pública / Propio,-,-,-,76 %,240,"18,32 €" 
"Universidad de Salamanca",Facultad de Ciencias,"Grado en Ingeniería Geológica",Pública / Propio,-,-,-,72 %,240,"19,37 €" 
"Universidad de Santiago de Compostela","Facultad de Geografía e Historia","Grado en Geografía y Ordenación del Territorio",Pública / Propio,50,-,-,,240,"9,85 €" 
"Universidad Europea de Madrid","Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas",Grado en Física,Privada / Propio,-,-,-,,240, 
"Universidad Europea de Valencia","Universidad Europea de Valencia",Grado en Física,Privada / Propio,-,-,-,,240, 
"Universidad Nacional de Educación a Distancia",Facultad de Ciencias,Grado en Física,Pública / Propio,-,-,"6,92",25 %,240,"20,48 €" 
"Universidad Nacional de Educación a Distancia",Facultad de Ciencias,Grado en Química,Pública / Propio,-,-,"6,47",30 %,240,"20,48 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros de Minas y Energía","Grado en Ingeniería Geológica",Pública / Propio,50,-,-,67 %,240,"24,55 €" 
"Universidad Ramón Llull","IQS School of Engineering/Escuela Técnica Superior IQS",Grado en Química,Privada / Propio,-,-,-,93 %,240, 
CUNEF Universidad,"Escuela Politécnica Superior","Grado en Ingeniería Matemática",Privada / Propio,-,-,-,,240, 
IE Universidad,"Facultad de Ciencias Humanas, Sociales y de Comunicación","Grado en Datos y Analítica de Negocio / Bachelor in Data and Business Analytics",Privada / Propio,-,-,-,99 %,240, 
IE Universidad,"Centro de Estudios Superiores IE","Grado en Datos y Analítica de Negocio / Bachelor in Data and Business Analytics",Privada / Adscrito,-,-,-,99 %,240, 
"Universidad Camilo José Cela","Centro Universitario de Tecnología y Arte Digital (U-Tad)","Grado en Matemática Computacional",Privada / Adscrito,-,-,-,,240, 
"Universidad de Salamanca",Facultad de Ciencias,Grado en Estadística,Pública / Propio,-,-,-,86 %,240,"14,05 €" 
"Universidad Europea de Madrid","Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas","Grado en Ingeniería en Matemática Aplicada al Análisis de Datos",Privada / Propio,-,-,-,81 %,240, 
"Universidad Europea de Valencia","Escuela de Arquitectura y Politécnica","Grado en Ciencia de Datos",Privada / Propio,-,-,-,,240, 
"Universidad Francisco de Vitoria","Escuela Politécnica Superior","Grado en Ingeniería Matemática",Privada / Propio,-,-,-,,240, 
"Universidad Internacional de La Rioja","Escuela Superior de Ingeniería y Tecnología","Grado en Matemática Computacional",Privada / Propio,-,-,-,,240, 
"Universidad Nacional de Educación a Distancia",Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,-,-,"7,4",24 %,240,"13,39 €" 
"Universidad Politécnica de Catalunya","Facultad de Matemáticas y Estadística",Grado en Estadística,Pública / Propio,-,-,-,,240, 
"Universitat Oberta de Catalunya","Universitat Oberta de Catalunya","Grado en Ciencia de Datos Aplicada / Applied Data Science",Privada / Propio,600,-,-,60 %,240, 
IE Universidad,"Centro de Estudios Superiores IE","Grado en Computación e Inteligencia Artificial / Bachelor in Computer Science and Artificial Intelligence",Privada / Adscrito,-,-,-,,240, 
IE Universidad,"Facultad de Ciencias Humanas, Sociales y de Comunicación","Grado en Computación e Inteligencia Artificial / Bachelor in Computer",Privada / Propio,-,-,-,,240, 
"",,"Science and Artificial Intelligence",,,,,,, 
IE Universidad,"Facultad de Ciencias Humanas, Sociales y de Comunicación","Grado en Gestión de Sistemas de Información / Bachelor in Management Information Systems",Privada / Propio,-,-,-,99 %,240, 
IE Universidad,"Centro de Estudios Superiores IE","Grado en Gestión de Sistemas de Información / Bachelor in Management Information Systems",Privada / Adscrito,-,-,-,99 %,240, 
"Mondragón Unibertsitatea","Escuela Politécnica Superior","Grado en Ingeniería en Informática",Privada / Propio,-,-,-,80 %,240, 
"Universidad a Distancia de Madrid","Facultad de Ciencias Técnicas e Ingeniería","Grado en Ingeniería Informática",Privada / Propio,-,-,-,58 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería Informática",Privada / Propio,-,-,-,69 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Producción y Gestión de Contenidos Digitales",Privada / Propio,-,-,-,,240, 
"Universidad Antonio de Nebrija","Escuela Politécnica Superior","Grado en Ingeniería Informática",Privada / Propio,-,-,-,75 %,240, 
"Universidad Camilo José Cela","Centro Universitario de Tecnología y Arte Digital (U-Tad)","Grado en Ingeniería del Software",Privada / Adscrito,-,-,-,,237, 
"Universidad Católica San Antonio","Escuela Politécnica Superior","Grado en Ingeniería Informática",Privada / Propio,-,-,-,59 %,240, 
"Universidad Católica Santa Teresa de Jesús de Ávila","Facultad de Ciencias y Artes","Grado en Ingeniería de Sistemas de Información",Privada / Propio,-,-,-,60 %,240, 
Universidad de Deusto,Facultad de Ingeniería,"Grado en Ciencia de Datos e Inteligencia Artificial",Privada / Propio,-,-,-,,240, 
Universidad de Deusto,Facultad de Ingeniería,"Grado en Ingeniería Informática",Privada / Propio,-,-,-,80 %,240, 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea",Facultad de Informática,"Grado en Inteligencia Artificial",Pública / Propio,-,-,-,,240, 
"Universidad Europea de Madrid","Escuela de Arquitectura, Ingeniería y Diseño.","Grado en Diseño de Videojuegos",Privada / Propio,-,-,-,81 %,240, 
"","Campus Villaviciosa y Alcobendas",,,,,,,, 
"Universidad Europea de Madrid","Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas","Grado en Ingeniería Informática",Privada / Propio,-,-,-,70 %,240, 
"Universidad Europea del Atlántico","Escuela Politécnica Superior","Grado en Ingeniería Informática",Privada / Propio,-,-,-,,240, 
"Universidad Europea Miguel de Cervantes, SA","Escuela Politécnica Superior","Grado en Ingeniería Informática",Privada / Propio,-,-,-,81 %,240, 
"Universidad Francisco de Vitoria","Facultad de Ciencias Jurídicas y Empresariales","Grado en Gestión de la Ciberseguridad",Privada / Propio,-,-,-,,240, 
"Universidad Francisco de Vitoria","Escuela Politécnica Superior","Grado en Ingeniería Informática",Privada / Propio,-,-,-,69 %,240, 
"Universidad Internacional de La Rioja","Escuela Superior de Ingeniería y Tecnología","Grado en Ingeniería Informática",Privada / Propio,-,-,-,67 %,240, 
"Universidad Internacional Isabel I de Castilla","Facultad de Ciencias y Tecnología","Grado en Ingeniería Informática",Privada / Propio,-,-,-,77 %,240, 
"Universidad Loyola Andalucía","Escuela Técnica Superior de Ingeniería (Sede de Sevilla)","Grado en Ingeniería Informática y Tecnologías Virtuales",Privada / Propio,-,-,-,65 %,240, 
"Universidad Nacional de Educación a Distancia","Escuela Técnica Superior de Ingeniería Informática","Grado en Ingeniería en Tecnologías de la Información",Pública / Propio,-,-,n/d,28 %,240,"21,60 €" 
"Universidad Nacional de Educación a Distancia","Escuela Técnica Superior de Ingeniería Informática","Grado en Ingeniería Informática",Pública / Propio,-,-,"5,99",27 %,240,"21,60 €" 
"Universidad Politécnica de Catalunya","Escuela Universitaria Politécnica de Mataró","Grado en Ingeniería Informática",Pública / Adscrito,-,-,-,78 %,240, 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería de Sistemas Informáticos","Grado en Ciencia de Datos e Inteligencia Artificial",Pública / Propio,-,-,-,,240, 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros Informáticos","Grado en Ciencia de Datos e Inteligencia Artificial",Pública / Propio,-,-,-,,240, 
"Universidad Pontificia de Salamanca","Escuela Superior de Ingeniería y Arquitectura","Grado en Ingeniería Informática",Privada / Propio,-,-,-,71 %,240, 
"Universidad Pontificia de Salamanca",Facultad de Informática,"Grado en Ingeniería Informática",Privada / Propio,-,-,-,71 %,240, 
"Universidad Ramón Llull","La Salle Digital Engineering School/ Escola Tècnica Superior d'Enginyeria La Salle/ Escuela Técnica Superior de Ingeniería La Salle","Grado en Ingeniería en Organización de las Tecnologías de la Información y de la Comunicación",Privada / Propio,-,-,-,78 %,240, 
"Universidad Ramón Llull","La Salle Digital Engineering School/ Escola Tècnica Superior d'Enginyeria La Salle/ Escuela Técnica Superior de Ingeniería La Salle","Grado en Ingeniería Informática",Privada / Propio,-,-,-,62 %,240, 
"Universidad Ramón Llull","La Salle Digital Engineering School/ Escola Tècnica Superior d'Enginyeria La Salle/ Escuela Técnica","Grado en Ingeniería Multimedia",Privada / Propio,-,-,-,69 %,240, 
"","Superior de Ingeniería La Salle",,,,,,,, 
"Universidad Ramón Llull","La Salle Digital Engineering School/ Escola Tècnica Superior d'Enginyeria La Salle/ Escuela Técnica Superior de Ingeniería La Salle","Grado en Técnicas de Aplicaciones de Software",Privada / Propio,40,-,-,62 %,180, 
"Universidad Ramón Llull","La Salle Digital Engineering School/ Escola Tècnica Superior d'Enginyeria La Salle/ Escuela Técnica Superior de Ingeniería La Salle","Grado en Técnicas de Interacción Digital y de Computación",Privada / Propio,40,-,-,,180, 
Universidad San Jorge,"Escuela de Arquitectura y Tecnología","Grado en Diseño y Desarrollo de Videojuegos",Privada / Propio,-,-,-,85 %,240, 
Universidad San Jorge,"Escuela de Arquitectura y Tecnología","Grado en Ingeniería Informática",Privada / Propio,-,-,-,86 %,240, 
"Universidad San Pablo- CEU","Escuela Politécnica Superior","Grado en Ingeniería de Sistemas de Información",Privada / Propio,-,-,-,58 %,240, 
"Universitat Internacional Valenciana","Escuela Superior de Ingeniería, Ciencia y Tecnología","Grado en Ingeniería Informática",Privada / Propio,-,-,-,63 %,240, 
"Universitat Oberta de Catalunya","Universitat Oberta de Catalunya","Grado en Ingeniería Informática",Privada / Propio,1800,-,-,66 %,240, 
CUNEF Universidad,"Escuela Politécnica Superior","Grado en Ingeniería Informática",Privada / Propio,-,-,-,,240, 
"Mondragón Unibertsitatea","Escuela Politécnica Superior","Grado en Ingeniería de la Energía",Privada / Propio,-,-,-,91 %,240, 
"Mondragón Unibertsitatea","Escuela Politécnica Superior","Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto",Privada / Propio,-,-,-,92 %,240, 
"Mondragón Unibertsitatea","Escuela Politécnica Superior","Grado en Ingeniería en Ecotecnologías en Procesos Industriales",Privada / Propio,-,-,-,90 %,240, 
"Mondragón Unibertsitatea","Escuela Politécnica Superior","Grado en Ingeniería en Electrónica Industrial",Privada / Propio,-,-,-,87 %,240, 
"Mondragón Unibertsitatea","Escuela Politécnica Superior","Grado en Ingeniería en Organización Industrial",Privada / Propio,-,-,-,93 %,240, 
"Mondragón Unibertsitatea","Escuela Politécnica Superior","Grado en Ingeniería Mecánica",Privada / Propio,-,-,-,89 %,240, 
"Mondragón Unibertsitatea","Escuela Politécnica Superior","Grado en Ingeniería Mecatrónica",Privada / Propio,-,-,-,92 %,240, 
"Universidad a Distancia de Madrid","Facultad de Ciencias Técnicas e Ingeniería","Grado en Ingeniería de Organización Industrial",Privada / Propio,-,-,-,62 %,240, 
"Universidad a Distancia de Madrid","Facultad de Ciencias Técnicas e Ingeniería","Grado en Ingeniería de Tecnologías y Servicios de Telecomunicación",Privada / Propio,-,-,-,50 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Diseño Industrial y Desarrollo de Producto",Privada / Propio,-,-,-,87 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería Aeroespacial",Privada / Propio,-,-,-,82 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería Biomédica",Privada / Propio,-,-,-,,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería Eléctrica",Privada / Propio,-,-,-,97 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería Electrónica Industrial y Automática",Privada / Propio,-,-,-,98 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería en Sistemas de Telecomunicación",Privada / Propio,-,-,-,88 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería en Sonido e Imagen",Privada / Propio,-,-,-,95 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería Matemática",Privada / Propio,-,-,-,,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería Mecánica",Privada / Propio,-,-,-,78 %,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Ingeniería Telemática",Privada / Propio,-,-,-,n/d,240, 
"Universidad Alfonso X El Sabio","Escuela Politécnica Superior","Grado en Movilidad sostenible y Logística Urbana",Privada / Propio,-,-,-,,240, 
"Universidad Antonio de Nebrija","Escuela Politécnica Superior","Grado en Ingeniería del Automóvil",Privada / Propio,-,-,-,66 %,240, 
"Universidad Antonio de Nebrija","Escuela Politécnica Superior","Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto",Privada / Propio,-,-,-,77 %,240, 
"Universidad Antonio de Nebrija","Escuela Politécnica Superior","Grado en Ingeniería en Tecnologías Industriales",Privada / Propio,-,-,-,74 %,240, 
"Universidad Antonio de Nebrija","Escuela Politécnica Superior","Grado en Ingeniería Mecánica",Privada / Propio,-,-,-,64 %,240, 
"Universidad Autónoma de Barcelona","Escuela Universitaria Salesiana de Sarrià","Grado en Ingeniería de Automoción",Pública / Adscrito,-,-,-,,240, 
